id,soil_type,fertilizer_type,climate,humidity_level,pest_disease_management,plant_time,crop_harvested,water_temperature,harvest_colour,seed_supplier,season,distance_to_retailer,harvest_yield
31,Saline,Organic,Tropical,62,Chemical Control - Organic Pesticides,Late Spring,Potato,32C,Overdone,FarmGrow Inc.,Autumn,134km,35%
32,Saline,Compost,Arid,63,Integrated Pest Management,Late Summer,Wheat,22C,Medium-Well,AgriSeeds Co.,Autumn,129km,100%
33,Sandy,Compost,Arid,60,Chemical Control - Synthetic Pesticides,Late Summer,Corn,25C,Medium,FarmGrow Inc.,Spring,133km,78%
34,Sandy,Compost,Temperate,76,Chemical Control - Organic Pesticides,Early Summer,Tomato,26C,Overdone,GreenFields,Summer,133km,40%
35,Saline,Chemical,Temperate,80,Chemical Control - Synthetic Pesticides,Early Summer,Lettuce,24C,Medium-Well,CropLife Solutions,Summer,130km,52%
36,Loamy,Organic,Temperate,73,Biological Control - Predatory Insects,Autumn,Wheat,23C,Medium-Rare,AgriSeeds Co.,Autumn,131km,20%
37,Clay,Chemical,Tropical,62,Chemical Control - Organic Pesticides,Early Summer,Carrot,21C,Well-Done,AgriSeeds Co.,Summer,133km,91%
38,Sandy,Chemical,Temperate,61,Chemical Control - Organic Pesticides,Early Summer,Carrot,31C,Rare,CropLife Solutions,Spring,131km,46%
39,Loamy,Compost,Arid,63,Biological Control - Predatory Insects,Winter,Corn,27C,Rare,GreenFields,Summer,129km,57%
40,Clay,Organic,Arid,80,Integrated Pest Management,Late Summer,Carrot,30C,Rare,FarmGrow Inc.,Autumn,129km,67%
41,Loamy,Compost,Temperate,71,Chemical Control - Organic Pesticides,Late Summer,Carrot,32C,Overdone,FarmGrow Inc.,Winter,132km,66%
42,Clay,Chemical,Temperate,70,Biological Control - Predatory Insects,Early Summer,Tomato,26C,Medium,GreenFields,Summer,134km,44%
43,Saline,Chemical,Tropical,64,Integrated Pest Management,Early Summer,Lettuce,28C,Overdone,CropLife Solutions,Winter,128km,67%
44,Saline,Compost,Arid,62,Chemical Control - Organic Pesticides,Early Summer,Potato,23C,Medium,AgriSeeds Co.,Autumn,132km,75%
45,Saline,Compost,Temperate,85,Chemical Control - Organic Pesticides,Early Summer,Tomato,21C,Medium,FarmGrow Inc.,Spring,134km,70%
46,Loamy,Compost,Arid,80,Chemical Control - Synthetic Pesticides,Winter,Potato,27C,Medium-Rare,FarmGrow Inc.,Spring,133km,42%
47,Loamy,Compost,Temperate,77,Integrated Pest Management,Early Spring,Lettuce,28C,Medium-Rare,CropLife Solutions,Summer,134km,86%
48,Sandy,Organic,Tropical,64,Integrated Pest Management,Winter,Carrot,29C,Medium,CropLife Solutions,Summer,130km,94%
49,Sandy,Chemical,Arid,83,Chemical Control - Synthetic Pesticides,Winter,Potato,28C,Rare,FarmGrow Inc.,Summer,129km,100%
50,Loamy,Compost,Temperate,82,Chemical Control - Synthetic Pesticides,Early Summer,Lettuce,33C,Overdone,FarmGrow Inc.,Summer,133km,86%
51,Clay,Organic,Arid,82,Integrated Pest Management,Early Spring,Tomato,23C,Medium-Well,CropLife Solutions,Winter,129km,88%
52,Saline,Organic,Temperate,72,Chemical Control - Organic Pesticides,Late Summer,Lettuce,30C,Overdone,AgriSeeds Co.,Spring,128km,97%
53,Sandy,Compost,Tropical,66,Chemical Control - Organic Pesticides,Late Summer,Tomato,28C,Medium-Well,CropLife Solutions,Spring,131km,41%
54,Sandy,Compost,Arid,77,Chemical Control - Synthetic Pesticides,Early Summer,Tomato,28C,Rare,GreenFields,Summer,132km,21%
55,Clay,Compost,Tropical,66,Chemical Control - Organic Pesticides,Autumn,Potato,31C,Overdone,AgriSeeds Co.,Winter,129km,79%
56,Loamy,Compost,Tropical,60,Chemical Control - Organic Pesticides,Autumn,Corn,30C,Overdone,GreenFields,Autumn,129km,83%
57,Sandy,Chemical,Arid,65,Chemical Control - Organic Pesticides,Autumn,Wheat,26C,Well-Done,GreenFields,Summer,131km,98%
58,Saline,Organic,Arid,74,Integrated Pest Management,Early Spring,Potato,32C,Medium-Well,GreenFields,Summer,132km,44%
59,Loamy,Compost,Arid,71,Chemical Control - Synthetic Pesticides,Early Summer,Carrot,28C,Rare,AgriSeeds Co.,Winter,134km,74%
60,Saline,Compost,Arid,78,Biological Control - Predatory Insects,Autumn,Wheat,30C,Rare,GreenFields,Spring,133km,81%
61,Clay,Organic,Tropical,74,Biological Control - Predatory Insects,Late Summer,Corn,28C,Rare,CropLife Solutions,Winter,131km,76%
62,Loamy,Compost,Temperate,80,Chemical Control - Organic Pesticides,Autumn,Lettuce,30C,Overdone,FarmGrow Inc.,Summer,134km,57%
63,Clay,Organic,Temperate,74,Biological Control - Predatory Insects,Autumn,Tomato,24C,Medium-Rare,GreenFields,Spring,134km,51%
64,Clay,Organic,Tropical,78,Chemical Control - Synthetic Pesticides,Late Spring,Carrot,33C,Medium-Rare,AgriSeeds Co.,Spring,134km,47%
65,Clay,Organic,Arid,63,Chemical Control - Synthetic Pesticides,Winter,Carrot,20C,Medium-Well,AgriSeeds Co.,Winter,132km,41%
66,Sandy,Chemical,Temperate,67,Chemical Control - Organic Pesticides,Autumn,Corn,23C,Rare,AgriSeeds Co.,Winter,129km,81%
67,Sandy,Compost,Arid,74,Chemical Control - Synthetic Pesticides,Late Spring,Tomato,24C,Overdone,GreenFields,Winter,130km,94%
68,Saline,Chemical,Temperate,78,Biological Control - Predatory Insects,Early Spring,Tomato,33C,Rare,AgriSeeds Co.,Summer,130km,90%
69,Loamy,Organic,Tropical,62,Chemical Control - Synthetic Pesticides,Early Summer,Corn,22C,Medium-Well,GreenFields,Spring,132km,66%
70,Sandy,Compost,Temperate,84,Chemical Control - Organic Pesticides,Late Spring,Potato,25C,Medium-Well,AgriSeeds Co.,Winter,132km,75%
71,Sandy,Organic,Arid,85,Integrated Pest Management,Late Summer,Wheat,26C,Well-Done,CropLife Solutions,Summer,130km,26%
72,Loamy,Organic,Arid,66,Chemical Control - Synthetic Pesticides,Autumn,Tomato,32C,Medium-Well,AgriSeeds Co.,Winter,129km,74%
73,Saline,Compost,Tropical,69,Chemical Control - Organic Pesticides,Late Spring,Potato,29C,Medium-Well,GreenFields,Winter,133km,89%
74,Clay,Chemical,Tropical,61,Biological Control - Predatory Insects,Early Spring,Tomato,24C,Rare,CropLife Solutions,Autumn,132km,20%
75,Loamy,Organic,Temperate,76,Chemical Control - Organic Pesticides,Early Spring,Corn,27C,Medium-Rare,GreenFields,Autumn,134km,90%
76,Saline,Chemical,Tropical,79,Chemical Control - Synthetic Pesticides,Late Spring,Corn,33C,Rare,CropLife Solutions,Spring,133km,45%
77,Loamy,Chemical,Tropical,72,Biological Control - Predatory Insects,Autumn,Corn,25C,Medium-Rare,AgriSeeds Co.,Summer,129km,79%
78,Loamy,Chemical,Tropical,64,Integrated Pest Management,Late Summer,Carrot,21C,Medium-Well,GreenFields,Summer,132km,36%
79,Clay,Chemical,Tropical,72,Biological Control - Predatory Insects,Early Spring,Carrot,27C,Medium-Rare,AgriSeeds Co.,Autumn,132km,73%
80,Loamy,Chemical,Temperate,78,Chemical Control - Synthetic Pesticides,Winter,Wheat,22C,Medium-Well,GreenFields,Autumn,132km,69%
81,Loamy,Compost,Temperate,83,Chemical Control - Organic Pesticides,Late Summer,Wheat,24C,Medium-Rare,GreenFields,Spring,132km,90%
82,Clay,Organic,Tropical,67,Integrated Pest Management,Autumn,Corn,29C,Well-Done,AgriSeeds Co.,Spring,132km,37%
83,Saline,Compost,Temperate,70,Biological Control - Predatory Insects,Late Summer,Wheat,28C,Rare,GreenFields,Autumn,129km,99%
84,Saline,Organic,Tropical,84,Biological Control - Predatory Insects,Early Spring,Potato,23C,Medium-Rare,GreenFields,Summer,133km,39%
85,Loamy,Chemical,Arid,61,Biological Control - Predatory Insects,Winter,Lettuce,33C,Medium,GreenFields,Autumn,130km,41%
86,Loamy,Chemical,Temperate,70,Biological Control - Predatory Insects,Late Summer,Wheat,23C,Well-Done,GreenFields,Autumn,129km,90%
87,Sandy,Chemical,Arid,85,Biological Control - Predatory Insects,Early Summer,Lettuce,22C,Well-Done,CropLife Solutions,Winter,131km,63%
88,Clay,Organic,Tropical,79,Chemical Control - Synthetic Pesticides,Autumn,Lettuce,22C,Medium-Well,AgriSeeds Co.,Summer,132km,23%
89,Saline,Compost,Tropical,61,Chemical Control - Organic Pesticides,Early Summer,Potato,20C,Overdone,FarmGrow Inc.,Autumn,134km,29%
90,Clay,Compost,Tropical,79,Integrated Pest Management,Winter,Lettuce,31C,Well-Done,FarmGrow Inc.,Summer,130km,28%
91,Saline,Compost,Temperate,60,Integrated Pest Management,Late Summer,Lettuce,31C,Medium-Rare,CropLife Solutions,Summer,128km,94%
92,Sandy,Organic,Temperate,83,Chemical Control - Organic Pesticides,Late Summer,Wheat,24C,Well-Done,GreenFields,Spring,130km,43%
93,Clay,Compost,Arid,73,Chemical Control - Organic Pesticides,Early Summer,Tomato,34C,Well-Done,AgriSeeds Co.,Winter,132km,24%
94,Loamy,Chemical,Tropical,66,Integrated Pest Management,Autumn,Wheat,26C,Rare,AgriSeeds Co.,Autumn,131km,30%
95,Saline,Chemical,Tropical,75,Chemical Control - Organic Pesticides,Early Summer,Lettuce,20C,Rare,CropLife Solutions,Autumn,130km,96%
96,Sandy,Organic,Arid,85,Biological Control - Predatory Insects,Winter,Tomato,20C,Rare,FarmGrow Inc.,Spring,134km,37%
97,Sandy,Chemical,Temperate,70,Biological Control - Predatory Insects,Early Spring,Corn,23C,Rare,AgriSeeds Co.,Summer,128km,35%
98,Sandy,Chemical,Arid,81,Biological Control - Predatory Insects,Early Spring,Corn,26C,Medium-Well,GreenFields,Spring,130km,68%
99,Loamy,Organic,Temperate,65,Integrated Pest Management,Early Summer,Carrot,26C,Overdone,GreenFields,Winter,130km,31%
100,Clay,Organic,Arid,79,Chemical Control - Synthetic Pesticides,Late Summer,Corn,22C,Medium,GreenFields,Spring,134km,44%
101,Clay,Organic,Temperate,65,Chemical Control - Synthetic Pesticides,Winter,Corn,26C,Well-Done,AgriSeeds Co.,Winter,129km,77%
102,Sandy,Organic,Temperate,81,Chemical Control - Synthetic Pesticides,Early Spring,Wheat,24C,Medium,CropLife Solutions,Summer,131km,29%
103,Loamy,Chemical,Tropical,68,Chemical Control - Organic Pesticides,Early Spring,Potato,30C,Well-Done,CropLife Solutions,Spring,131km,47%
104,Loamy,Organic,Tropical,75,Biological Control - Predatory Insects,Late Summer,Tomato,34C,Well-Done,FarmGrow Inc.,Winter,133km,31%
105,Clay,Compost,Tropical,77,Chemical Control - Organic Pesticides,Winter,Corn,26C,Well-Done,GreenFields,Spring,134km,52%
106,Loamy,Chemical,Tropical,66,Chemical Control - Organic Pesticides,Early Spring,Tomato,25C,Medium-Rare,AgriSeeds Co.,Spring,134km,37%
107,Clay,Organic,Tropical,78,Chemical Control - Synthetic Pesticides,Early Summer,Lettuce,23C,Rare,AgriSeeds Co.,Winter,130km,89%
108,Clay,Chemical,Arid,65,Chemical Control - Synthetic Pesticides,Winter,Carrot,26C,Well-Done,CropLife Solutions,Autumn,133km,67%
109,Saline,Compost,Arid,71,Biological Control - Predatory Insects,Early Summer,Lettuce,24C,Rare,GreenFields,Spring,134km,89%
110,Sandy,Chemical,Arid,72,Integrated Pest Management,Early Summer,Wheat,32C,Overdone,CropLife Solutions,Spring,129km,47%
111,Loamy,Organic,Temperate,60,Biological Control - Predatory Insects,Early Spring,Tomato,23C,Medium-Rare,FarmGrow Inc.,Spring,130km,100%
112,Clay,Organic,Temperate,78,Biological Control - Predatory Insects,Late Spring,Corn,31C,Rare,GreenFields,Summer,130km,61%
113,Clay,Organic,Arid,73,Biological Control - Predatory Insects,Autumn,Potato,22C,Overdone,GreenFields,Winter,133km,44%
114,Clay,Chemical,Arid,68,Chemical Control - Organic Pesticides,Early Summer,Carrot,24C,Well-Done,FarmGrow Inc.,Spring,133km,50%
115,Saline,Compost,Tropical,61,Chemical Control - Synthetic Pesticides,Late Summer,Corn,26C,Medium,AgriSeeds Co.,Winter,129km,27%
116,Sandy,Chemical,Temperate,69,Chemical Control - Synthetic Pesticides,Early Spring,Potato,25C,Medium-Rare,AgriSeeds Co.,Spring,133km,54%
117,Loamy,Compost,Arid,79,Chemical Control - Organic Pesticides,Early Summer,Potato,29C,Rare,GreenFields,Autumn,132km,29%
118,Saline,Compost,Arid,74,Chemical Control - Synthetic Pesticides,Late Spring,Corn,24C,Rare,AgriSeeds Co.,Spring,129km,58%
119,Clay,Chemical,Arid,76,Biological Control - Predatory Insects,Late Summer,Lettuce,28C,Rare,AgriSeeds Co.,Spring,131km,50%
120,Loamy,Organic,Tropical,62,Chemical Control - Synthetic Pesticides,Late Spring,Carrot,25C,Overdone,CropLife Solutions,Summer,134km,30%
121,Sandy,Organic,Arid,61,Integrated Pest Management,Late Spring,Wheat,30C,Medium-Well,FarmGrow Inc.,Autumn,133km,48%
122,Saline,Organic,Arid,78,Integrated Pest Management,Winter,Lettuce,25C,Medium-Rare,AgriSeeds Co.,Autumn,133km,65%
123,Loamy,Organic,Temperate,74,Integrated Pest Management,Late Summer,Lettuce,26C,Well-Done,FarmGrow Inc.,Winter,130km,73%
124,Saline,Organic,Arid,77,Chemical Control - Organic Pesticides,Late Summer,Carrot,27C,Medium,GreenFields,Summer,133km,96%
125,Clay,Chemical,Tropical,73,Chemical Control - Synthetic Pesticides,Early Spring,Carrot,32C,Well-Done,CropLife Solutions,Spring,134km,30%
126,Loamy,Organic,Tropical,80,Chemical Control - Organic Pesticides,Late Summer,Tomato,24C,Medium-Well,GreenFields,Winter,134km,21%
127,Loamy,Chemical,Tropical,62,Chemical Control - Synthetic Pesticides,Autumn,Wheat,26C,Medium-Rare,AgriSeeds Co.,Spring,133km,20%
128,Saline,Organic,Temperate,84,Biological Control - Predatory Insects,Winter,Corn,27C,Medium-Rare,CropLife Solutions,Autumn,128km,71%
129,Saline,Compost,Temperate,66,Biological Control - Predatory Insects,Early Summer,Carrot,28C,Rare,CropLife Solutions,Winter,134km,54%
130,Saline,Compost,Arid,82,Biological Control - Predatory Insects,Winter,Corn,23C,Overdone,GreenFields,Winter,132km,28%
131,Saline,Compost,Temperate,80,Chemical Control - Organic Pesticides,Early Spring,Lettuce,24C,Overdone,GreenFields,Winter,134km,60%
132,Saline,Chemical,Tropical,68,Biological Control - Predatory Insects,Late Spring,Lettuce,34C,Medium-Well,AgriSeeds Co.,Winter,129km,100%
133,Saline,Compost,Temperate,81,Integrated Pest Management,Late Spring,Tomato,29C,Medium,GreenFields,Autumn,133km,67%
134,Saline,Chemical,Temperate,76,Integrated Pest Management,Autumn,Potato,25C,Overdone,AgriSeeds Co.,Winter,131km,45%
135,Clay,Chemical,Tropical,82,Chemical Control - Organic Pesticides,Late Spring,Carrot,21C,Rare,CropLife Solutions,Autumn,128km,57%
136,Loamy,Chemical,Temperate,74,Integrated Pest Management,Autumn,Carrot,33C,Rare,FarmGrow Inc.,Autumn,129km,66%
137,Loamy,Compost,Tropical,79,Biological Control - Predatory Insects,Late Summer,Corn,34C,Medium-Rare,CropLife Solutions,Autumn,134km,85%
138,Sandy,Compost,Temperate,85,Chemical Control - Organic Pesticides,Early Summer,Corn,28C,Medium-Well,AgriSeeds Co.,Spring,134km,45%
139,Clay,Organic,Temperate,63,Chemical Control - Organic Pesticides,Late Spring,Corn,21C,Well-Done,GreenFields,Winter,128km,46%
140,Clay,Compost,Arid,70,Biological Control - Predatory Insects,Early Summer,Lettuce,34C,Well-Done,FarmGrow Inc.,Summer,129km,27%
141,Sandy,Compost,Tropical,81,Integrated Pest Management,Early Summer,Lettuce,24C,Well-Done,FarmGrow Inc.,Spring,130km,78%
142,Sandy,Chemical,Arid,72,Chemical Control - Synthetic Pesticides,Late Summer,Lettuce,32C,Medium-Well,CropLife Solutions,Summer,130km,61%
143,Loamy,Chemical,Tropical,64,Chemical Control - Organic Pesticides,Winter,Carrot,31C,Medium-Well,AgriSeeds Co.,Autumn,130km,47%
144,Loamy,Compost,Arid,68,Biological Control - Predatory Insects,Late Spring,Wheat,34C,Medium,AgriSeeds Co.,Summer,132km,32%
145,Loamy,Chemical,Tropical,71,Chemical Control - Organic Pesticides,Winter,Carrot,31C,Medium,FarmGrow Inc.,Autumn,134km,41%
146,Saline,Chemical,Temperate,79,Biological Control - Predatory Insects,Late Spring,Carrot,26C,Overdone,FarmGrow Inc.,Autumn,134km,28%
147,Sandy,Chemical,Arid,79,Chemical Control - Organic Pesticides,Early Summer,Carrot,23C,Well-Done,AgriSeeds Co.,Autumn,130km,24%
148,Saline,Organic,Arid,68,Chemical Control - Synthetic Pesticides,Late Summer,Wheat,22C,Rare,AgriSeeds Co.,Spring,128km,21%
149,Loamy,Organic,Tropical,72,Biological Control - Predatory Insects,Late Summer,Carrot,31C,Medium-Rare,AgriSeeds Co.,Winter,133km,97%
150,Saline,Chemical,Arid,66,Chemical Control - Organic Pesticides,Autumn,Lettuce,23C,Medium-Well,GreenFields,Spring,130km,48%
151,Clay,Compost,Arid,71,Biological Control - Predatory Insects,Late Summer,Wheat,29C,Well-Done,CropLife Solutions,Summer,131km,36%
152,Sandy,Chemical,Arid,60,Chemical Control - Synthetic Pesticides,Winter,Lettuce,30C,Medium-Well,FarmGrow Inc.,Winter,128km,47%
153,Loamy,Chemical,Arid,70,Chemical Control - Synthetic Pesticides,Early Spring,Tomato,28C,Rare,GreenFields,Autumn,129km,90%
154,Saline,Organic,Temperate,69,Chemical Control - Synthetic Pesticides,Early Summer,Potato,33C,Overdone,GreenFields,Summer,134km,81%
155,Clay,Organic,Tropical,76,Chemical Control - Synthetic Pesticides,Winter,Carrot,33C,Medium-Well,GreenFields,Spring,134km,22%
156,Loamy,Organic,Tropical,67,Chemical Control - Synthetic Pesticides,Winter,Carrot,26C,Medium,GreenFields,Spring,133km,50%
157,Sandy,Compost,Arid,66,Integrated Pest Management,Late Spring,Lettuce,22C,Well-Done,CropLife Solutions,Autumn,133km,73%
158,Saline,Chemical,Temperate,67,Chemical Control - Organic Pesticides,Autumn,Tomato,26C,Overdone,CropLife Solutions,Summer,134km,83%
159,Loamy,Organic,Tropical,63,Integrated Pest Management,Winter,Carrot,32C,Medium-Rare,CropLife Solutions,Summer,133km,44%
160,Saline,Organic,Arid,66,Integrated Pest Management,Late Summer,Potato,21C,Medium,AgriSeeds Co.,Winter,130km,76%
161,Saline,Compost,Arid,66,Chemical Control - Synthetic Pesticides,Early Summer,Wheat,22C,Medium-Well,AgriSeeds Co.,Summer,134km,95%
162,Clay,Compost,Arid,83,Chemical Control - Organic Pesticides,Late Spring,Lettuce,31C,Medium-Rare,AgriSeeds Co.,Spring,131km,86%
163,Sandy,Organic,Tropical,81,Biological Control - Predatory Insects,Winter,Potato,29C,Well-Done,FarmGrow Inc.,Summer,133km,72%
164,Sandy,Organic,Arid,72,Chemical Control - Organic Pesticides,Late Spring,Wheat,29C,Rare,AgriSeeds Co.,Winter,131km,35%
165,Saline,Compost,Arid,68,Biological Control - Predatory Insects,Early Spring,Tomato,31C,Rare,GreenFields,Winter,134km,31%
166,Saline,Compost,Arid,68,Biological Control - Predatory Insects,Autumn,Wheat,29C,Medium,GreenFields,Autumn,132km,50%
167,Clay,Organic,Arid,80,Chemical Control - Synthetic Pesticides,Early Summer,Corn,30C,Overdone,FarmGrow Inc.,Autumn,132km,72%
168,Saline,Chemical,Arid,74,Chemical Control - Organic Pesticides,Late Summer,Wheat,33C,Medium-Well,FarmGrow Inc.,Summer,134km,75%
169,Sandy,Compost,Temperate,65,Chemical Control - Synthetic Pesticides,Early Summer,Corn,26C,Overdone,CropLife Solutions,Autumn,130km,93%
170,Clay,Chemical,Temperate,83,Biological Control - Predatory Insects,Late Spring,Potato,33C,Medium-Rare,FarmGrow Inc.,Winter,131km,82%
171,Loamy,Compost,Tropical,62,Integrated Pest Management,Early Spring,Lettuce,22C,Well-Done,GreenFields,Autumn,131km,70%
172,Clay,Compost,Tropical,67,Chemical Control - Synthetic Pesticides,Early Spring,Tomato,26C,Rare,CropLife Solutions,Winter,133km,64%
173,Loamy,Organic,Arid,68,Biological Control - Predatory Insects,Early Summer,Wheat,31C,Medium-Well,CropLife Solutions,Spring,130km,79%
174,Sandy,Chemical,Arid,68,Chemical Control - Organic Pesticides,Late Spring,Carrot,30C,Medium-Well,CropLife Solutions,Winter,134km,84%
175,Saline,Organic,Tropical,66,Integrated Pest Management,Early Spring,Corn,24C,Rare,AgriSeeds Co.,Summer,132km,80%
176,Saline,Organic,Arid,67,Biological Control - Predatory Insects,Winter,Lettuce,33C,Rare,GreenFields,Winter,134km,88%
177,Saline,Organic,Tropical,80,Chemical Control - Synthetic Pesticides,Late Summer,Corn,23C,Well-Done,GreenFields,Winter,128km,66%
178,Sandy,Organic,Tropical,65,Biological Control - Predatory Insects,Late Spring,Corn,29C,Rare,AgriSeeds Co.,Spring,133km,85%
179,Sandy,Chemical,Arid,73,Integrated Pest Management,Early Summer,Tomato,27C,Rare,CropLife Solutions,Summer,134km,57%
180,Sandy,Chemical,Arid,85,Chemical Control - Synthetic Pesticides,Early Summer,Potato,34C,Rare,AgriSeeds Co.,Autumn,134km,88%
181,Clay,Organic,Tropical,64,Chemical Control - Organic Pesticides,Early Summer,Corn,24C,Overdone,FarmGrow Inc.,Summer,132km,38%
182,Loamy,Chemical,Arid,68,Integrated Pest Management,Winter,Corn,26C,Well-Done,FarmGrow Inc.,Spring,134km,77%
183,Sandy,Chemical,Tropical,79,Chemical Control - Organic Pesticides,Early Summer,Corn,30C,Medium-Rare,CropLife Solutions,Spring,134km,74%
184,Saline,Compost,Tropical,72,Chemical Control - Synthetic Pesticides,Early Summer,Lettuce,24C,Rare,CropLife Solutions,Autumn,129km,52%
185,Clay,Organic,Temperate,79,Biological Control - Predatory Insects,Autumn,Lettuce,25C,Medium-Well,FarmGrow Inc.,Summer,134km,53%
186,Clay,Chemical,Arid,63,Chemical Control - Synthetic Pesticides,Late Summer,Tomato,20C,Medium,GreenFields,Spring,131km,89%
187,Sandy,Organic,Tropical,80,Chemical Control - Synthetic Pesticides,Late Spring,Tomato,30C,Well-Done,GreenFields,Autumn,133km,95%
188,Loamy,Compost,Temperate,79,Biological Control - Predatory Insects,Late Spring,Carrot,30C,Medium,FarmGrow Inc.,Winter,128km,69%
189,Saline,Chemical,Tropical,71,Chemical Control - Organic Pesticides,Early Spring,Potato,24C,Well-Done,FarmGrow Inc.,Summer,132km,28%
190,Saline,Organic,Arid,72,Chemical Control - Organic Pesticides,Winter,Lettuce,28C,Overdone,CropLife Solutions,Autumn,128km,35%
191,Saline,Chemical,Tropical,78,Biological Control - Predatory Insects,Autumn,Corn,33C,Overdone,CropLife Solutions,Winter,128km,80%
192,Clay,Compost,Temperate,72,Biological Control - Predatory Insects,Winter,Tomato,31C,Overdone,FarmGrow Inc.,Winter,128km,40%
193,Sandy,Organic,Arid,71,Chemical Control - Synthetic Pesticides,Late Spring,Wheat,29C,Medium-Well,GreenFields,Spring,133km,24%
194,Loamy,Compost,Arid,74,Biological Control - Predatory Insects,Late Spring,Potato,24C,Rare,FarmGrow Inc.,Summer,128km,70%
195,Clay,Chemical,Tropical,76,Integrated Pest Management,Late Summer,Tomato,31C,Well-Done,FarmGrow Inc.,Winter,133km,35%
