id,soil_type,fertilizer_type,climate,humidity_level,pest_disease_management,plant_time,crop_harvested,water_temperature,harvest_colour,seed_supplier,season,distance_to_retailer,harvest_yield
16,Sandy,Organic,Tropical,70,Chemical Control - Synthetic Pesticides,Late Summer,Tomato,32C,Overdone,FarmGrow Inc.,Spring,129km,89%
17,Clay,Compost,Tropical,82,Integrated Pest Management,Autumn,Wheat,21C,Rare,GreenFields,Summer,130km,100%
18,Saline,Organic,Temperate,82,Biological Control - Predatory Insects,Early Summer,Corn,22C,Medium,FarmGrow Inc.,Spring,134km,64%
19,Saline,Compost,Tropical,85,Biological Control - Predatory Insects,Winter,Potato,33C,Well-Done,GreenFields,Autumn,130km,100%
20,Loamy,Chemical,Temperate,64,Integrated Pest Management,Late Summer,Carrot,23C,Medium-Rare,CropLife Solutions,Summer,134km,27%
21,Loamy,Chemical,Temperate,73,Biological Control - Predatory Insects,Early Spring,Wheat,29C,Well-Done,FarmGrow Inc.,Spring,132km,49%
22,Saline,Organic,Arid,69,Integrated Pest Management,Autumn,Corn,25C,Rare,CropLife Solutions,Spring,134km,79%
23,Sandy,Organic,Temperate,68,Chemical Control - Synthetic Pesticides,Late Spring,Wheat,32C,Medium-Well,FarmGrow Inc.,Summer,129km,34%
24,Sandy,Compost,Arid,77,Chemical Control - Synthetic Pesticides,Early Spring,Carrot,31C,Medium-Rare,FarmGrow Inc.,Autumn,130km,87%
25,Clay,Compost,Arid,81,Integrated Pest Management,Late Summer,Carrot,28C,Overdone,AgriSeeds Co.,Autumn,129km,22%
26,Loamy,Chemical,Tropical,69,Chemical Control - Organic Pesticides,Autumn,Lettuce,33C,Medium,AgriSeeds Co.,Spring,134km,60%
27,Sandy,Organic,Temperate,71,Chemical Control - Organic Pesticides,Early Summer,Tomato,32C,Rare,GreenFields,Summer,132km,24%
28,Clay,Organic,Temperate,64,Biological Control - Predatory Insects,Late Summer,Wheat,34C,Medium-Well,AgriSeeds Co.,Spring,130km,71%
29,Loamy,Compost,Tropical,79,Biological Control - Predatory Insects,Autumn,Wheat,28C,Overdone,GreenFields,Summer,132km,41%
30,Clay,Compost,Temperate,79,Chemical Control - Synthetic Pesticides,Autumn,Potato,24C,Overdone,FarmGrow Inc.,Summer,134km,79%
31,Loamy,Organic,Temperate,69,Biological Control - Predatory Insects,Autumn,Carrot,27C,Medium-Rare,AgriSeeds Co.,Autumn,128km,67%
32,Sandy,Compost,Temperate,85,Biological Control - Predatory Insects,Winter,Lettuce,22C,Medium-Well,AgriSeeds Co.,Summer,128km,53%
33,Saline,Compost,Temperate,60,Integrated Pest Management,Winter,Wheat,21C,Medium-Well,FarmGrow Inc.,Winter,132km,85%
34,Saline,Compost,Temperate,72,Chemical Control - Synthetic Pesticides,Winter,Potato,23C,Medium-Well,GreenFields,Winter,128km,76%
35,Loamy,Compost,Tropical,77,Chemical Control - Synthetic Pesticides,Autumn,Potato,30C,Medium-Well,AgriSeeds Co.,Autumn,130km,36%
36,Sandy,Compost,Temperate,71,Chemical Control - Organic Pesticides,Winter,Lettuce,29C,Well-Done,FarmGrow Inc.,Spring,128km,89%
37,Loamy,Compost,Tropical,79,Integrated Pest Management,Autumn,Corn,30C,Rare,AgriSeeds Co.,Summer,128km,53%
38,Clay,Organic,Temperate,60,Chemical Control - Synthetic Pesticides,Autumn,Carrot,28C,Medium,FarmGrow Inc.,Spring,128km,33%
39,Sandy,Chemical,Tropical,64,Chemical Control - Organic Pesticides,Late Spring,Potato,28C,Medium-Rare,GreenFields,Summer,133km,52%
40,Loamy,Organic,Temperate,85,Integrated Pest Management,Late Summer,Carrot,25C,Overdone,FarmGrow Inc.,Autumn,130km,34%
41,Saline,Compost,Tropical,73,Integrated Pest Management,Late Spring,Potato,30C,Medium-Well,FarmGrow Inc.,Spring,132km,63%
42,Sandy,Organic,Tropical,72,Integrated Pest Management,Early Spring,Carrot,31C,Medium-Well,AgriSeeds Co.,Spring,129km,31%
43,Loamy,Chemical,Tropical,60,Chemical Control - Synthetic Pesticides,Late Spring,Carrot,20C,Medium-Rare,FarmGrow Inc.,Spring,128km,26%
44,Sandy,Organic,Temperate,74,Chemical Control - Synthetic Pesticides,Early Spring,Corn,30C,Rare,GreenFields,Winter,128km,33%
45,Clay,Chemical,Tropical,63,Integrated Pest Management,Late Spring,Lettuce,26C,Medium-Rare,CropLife Solutions,Spring,133km,52%
46,Clay,Compost,Temperate,81,Biological Control - Predatory Insects,Winter,Tomato,33C,Well-Done,FarmGrow Inc.,Autumn,130km,51%
47,Saline,Organic,Temperate,63,Biological Control - Predatory Insects,Winter,Carrot,30C,Medium-Well,FarmGrow Inc.,Autumn,131km,22%
48,Sandy,Chemical,Temperate,65,Chemical Control - Organic Pesticides,Late Spring,Potato,22C,Medium,CropLife Solutions,Summer,130km,63%
49,Sandy,Chemical,Temperate,63,Chemical Control - Synthetic Pesticides,Late Spring,Wheat,27C,Medium-Rare,GreenFields,Winter,132km,54%
50,Loamy,Organic,Temperate,60,Chemical Control - Synthetic Pesticides,Late Spring,Lettuce,32C,Overdone,GreenFields,Winter,133km,79%
51,Loamy,Chemical,Temperate,65,Chemical Control - Organic Pesticides,Late Summer,Tomato,21C,Well-Done,AgriSeeds Co.,Spring,134km,48%
52,Saline,Compost,Tropical,78,Integrated Pest Management,Late Summer,Tomato,32C,Well-Done,FarmGrow Inc.,Autumn,132km,71%
53,Clay,Organic,Arid,70,Chemical Control - Organic Pesticides,Winter,Lettuce,33C,Medium,FarmGrow Inc.,Winter,134km,52%
54,Saline,Organic,Tropical,78,Integrated Pest Management,Winter,Wheat,20C,Medium-Rare,GreenFields,Autumn,128km,68%
55,Saline,Compost,Arid,74,Integrated Pest Management,Late Summer,Corn,23C,Well-Done,CropLife Solutions,Summer,131km,71%
56,Loamy,Compost,Tropical,70,Chemical Control - Organic Pesticides,Late Summer,Tomato,25C,Medium,AgriSeeds Co.,Winter,133km,71%
57,Loamy,Organic,Arid,67,Biological Control - Predatory Insects,Late Summer,Lettuce,27C,Rare,GreenFields,Autumn,132km,22%
58,Sandy,Chemical,Tropical,77,Chemical Control - Synthetic Pesticides,Late Summer,Corn,31C,Well-Done,GreenFields,Autumn,132km,60%
59,Loamy,Compost,Temperate,75,Chemical Control - Synthetic Pesticides,Early Spring,Corn,29C,Overdone,GreenFields,Spring,131km,33%
60,Sandy,Compost,Temperate,75,Integrated Pest Management,Winter,Corn,24C,Rare,GreenFields,Winter,132km,39%
61,Saline,Chemical,Temperate,77,Chemical Control - Synthetic Pesticides,Winter,Carrot,20C,Overdone,FarmGrow Inc.,Winter,131km,64%
62,Loamy,Chemical,Tropical,71,Chemical Control - Synthetic Pesticides,Winter,Wheat,22C,Medium-Well,CropLife Solutions,Spring,128km,27%
63,Clay,Organic,Arid,63,Chemical Control - Organic Pesticides,Early Summer,Corn,23C,Rare,AgriSeeds Co.,Winter,131km,89%
64,Clay,Organic,Temperate,70,Biological Control - Predatory Insects,Late Summer,Carrot,32C,Overdone,GreenFields,Winter,129km,75%
65,Saline,Organic,Temperate,78,Biological Control - Predatory Insects,Late Spring,Potato,28C,Medium,AgriSeeds Co.,Autumn,130km,59%
66,Loamy,Compost,Arid,65,Biological Control - Predatory Insects,Winter,Tomato,22C,Overdone,FarmGrow Inc.,Summer,134km,45%
67,Loamy,Chemical,Temperate,80,Chemical Control - Synthetic Pesticides,Late Spring,Lettuce,27C,Well-Done,GreenFields,Spring,132km,45%
68,Clay,Organic,Arid,72,Biological Control - Predatory Insects,Early Summer,Carrot,22C,Medium-Well,FarmGrow Inc.,Spring,131km,94%
69,Loamy,Compost,Temperate,80,Integrated Pest Management,Autumn,Potato,33C,Medium-Rare,FarmGrow Inc.,Autumn,129km,46%
70,Saline,Compost,Tropical,63,Integrated Pest Management,Early Spring,Wheat,21C,Overdone,GreenFields,Winter,134km,48%
71,Clay,Organic,Tropical,65,Chemical Control - Synthetic Pesticides,Late Spring,Lettuce,21C,Well-Done,CropLife Solutions,Autumn,131km,61%
72,Saline,Chemical,Temperate,74,Chemical Control - Synthetic Pesticides,Winter,Potato,28C,Rare,AgriSeeds Co.,Winter,134km,75%
73,Loamy,Compost,Temperate,65,Biological Control - Predatory Insects,Early Spring,Carrot,22C,Overdone,GreenFields,Autumn,134km,40%
74,Loamy,Chemical,Arid,75,Chemical Control - Synthetic Pesticides,Late Spring,Potato,29C,Overdone,FarmGrow Inc.,Spring,129km,93%
75,Loamy,Chemical,Arid,72,Chemical Control - Synthetic Pesticides,Early Spring,Potato,33C,Medium-Well,CropLife Solutions,Winter,131km,97%
76,Sandy,Compost,Tropical,66,Chemical Control - Organic Pesticides,Late Summer,Wheat,27C,Overdone,AgriSeeds Co.,Spring,132km,55%
77,Saline,Compost,Tropical,83,Integrated Pest Management,Autumn,Tomato,29C,Medium,AgriSeeds Co.,Winter,133km,84%
78,Sandy,Compost,Temperate,71,Chemical Control - Synthetic Pesticides,Late Summer,Corn,25C,Rare,CropLife Solutions,Summer,130km,94%
79,Loamy,Chemical,Arid,63,Chemical Control - Organic Pesticides,Early Summer,Lettuce,22C,Medium-Well,CropLife Solutions,Summer,132km,97%
80,Clay,Compost,Tropical,78,Chemical Control - Organic Pesticides,Late Summer,Lettuce,21C,Rare,GreenFields,Spring,130km,62%
81,Clay,Organic,Tropical,83,Biological Control - Predatory Insects,Winter,Tomato,23C,Overdone,GreenFields,Summer,129km,45%
82,Loamy,Organic,Arid,67,Chemical Control - Organic Pesticides,Autumn,Corn,31C,Rare,AgriSeeds Co.,Winter,133km,67%
83,Sandy,Compost,Tropical,66,Chemical Control - Synthetic Pesticides,Autumn,Potato,20C,Medium-Rare,GreenFields,Spring,134km,73%
84,Sandy,Organic,Arid,82,Chemical Control - Organic Pesticides,Early Spring,Potato,32C,Overdone,FarmGrow Inc.,Spring,131km,49%
85,Loamy,Chemical,Tropical,63,Integrated Pest Management,Late Summer,Lettuce,31C,Rare,GreenFields,Autumn,128km,43%
86,Saline,Organic,Tropical,77,Chemical Control - Synthetic Pesticides,Late Spring,Lettuce,25C,Medium,GreenFields,Winter,133km,91%
87,Sandy,Compost,Tropical,60,Chemical Control - Synthetic Pesticides,Winter,Corn,24C,Well-Done,AgriSeeds Co.,Winter,128km,46%
88,Saline,Chemical,Tropical,79,Chemical Control - Organic Pesticides,Early Summer,Corn,22C,Overdone,FarmGrow Inc.,Winter,132km,62%
89,Loamy,Organic,Temperate,80,Chemical Control - Synthetic Pesticides,Late Spring,Tomato,24C,Rare,CropLife Solutions,Autumn,133km,30%
90,Sandy,Compost,Temperate,65,Chemical Control - Organic Pesticides,Winter,Potato,32C,Medium-Well,AgriSeeds Co.,Summer,130km,79%
91,Sandy,Compost,Tropical,62,Chemical Control - Synthetic Pesticides,Late Summer,Tomato,29C,Well-Done,FarmGrow Inc.,Summer,133km,90%
92,Loamy,Chemical,Temperate,83,Chemical Control - Synthetic Pesticides,Late Spring,Potato,29C,Well-Done,AgriSeeds Co.,Winter,133km,67%
93,Sandy,Chemical,Arid,66,Chemical Control - Organic Pesticides,Winter,Lettuce,22C,Medium-Well,GreenFields,Summer,133km,38%
94,Clay,Chemical,Temperate,65,Chemical Control - Organic Pesticides,Early Summer,Carrot,34C,Well-Done,CropLife Solutions,Winter,131km,52%
95,Saline,Chemical,Tropical,66,Chemical Control - Organic Pesticides,Late Spring,Corn,32C,Well-Done,CropLife Solutions,Summer,131km,20%
96,Sandy,Organic,Tropical,85,Biological Control - Predatory Insects,Late Summer,Tomato,30C,Rare,GreenFields,Spring,133km,37%
97,Loamy,Chemical,Arid,62,Biological Control - Predatory Insects,Late Spring,Tomato,31C,Medium-Well,FarmGrow Inc.,Summer,133km,28%
98,Loamy,Organic,Tropical,79,Chemical Control - Synthetic Pesticides,Early Spring,Tomato,22C,Well-Done,FarmGrow Inc.,Summer,132km,24%
99,Clay,Compost,Temperate,75,Chemical Control - Synthetic Pesticides,Autumn,Lettuce,29C,Medium-Well,AgriSeeds Co.,Spring,132km,39%
100,Sandy,Compost,Tropical,79,Biological Control - Predatory Insects,Autumn,Corn,28C,Medium-Rare,CropLife Solutions,Winter,128km,39%
101,Saline,Organic,Temperate,77,Chemical Control - Organic Pesticides,Late Summer,Wheat,26C,Medium,AgriSeeds Co.,Autumn,134km,51%
102,Clay,Organic,Tropical,67,Integrated Pest Management,Autumn,Tomato,26C,Medium,FarmGrow Inc.,Winter,130km,34%
103,Clay,Organic,Tropical,62,Integrated Pest Management,Autumn,Tomato,30C,Medium-Well,CropLife Solutions,Summer,132km,85%
104,Sandy,Chemical,Temperate,66,Integrated Pest Management,Late Summer,Potato,27C,Medium,GreenFields,Winter,131km,70%
105,Saline,Compost,Arid,77,Chemical Control - Synthetic Pesticides,Winter,Potato,34C,Rare,CropLife Solutions,Summer,130km,81%
106,Sandy,Organic,Arid,83,Chemical Control - Organic Pesticides,Late Spring,Lettuce,31C,Medium,CropLife Solutions,Winter,129km,28%
107,Sandy,Chemical,Tropical,65,Chemical Control - Synthetic Pesticides,Late Spring,Potato,31C,Medium-Rare,AgriSeeds Co.,Summer,129km,65%
108,Saline,Chemical,Temperate,60,Biological Control - Predatory Insects,Autumn,Lettuce,31C,Medium,AgriSeeds Co.,Winter,130km,25%
109,Saline,Compost,Arid,60,Chemical Control - Organic Pesticides,Late Summer,Lettuce,32C,Well-Done,GreenFields,Summer,134km,100%
110,Loamy,Organic,Tropical,69,Biological Control - Predatory Insects,Autumn,Carrot,31C,Medium-Rare,GreenFields,Winter,129km,89%
111,Loamy,Organic,Arid,69,Chemical Control - Organic Pesticides,Autumn,Wheat,24C,Medium-Well,AgriSeeds Co.,Summer,128km,67%
112,Sandy,Compost,Tropical,61,Chemical Control - Synthetic Pesticides,Early Summer,Wheat,26C,Well-Done,FarmGrow Inc.,Autumn,133km,41%
113,Saline,Compost,Tropical,64,Biological Control - Predatory Insects,Autumn,Potato,20C,Medium,AgriSeeds Co.,Winter,133km,94%
114,Saline,Compost,Tropical,67,Chemical Control - Organic Pesticides,Late Summer,Wheat,32C,Medium-Rare,FarmGrow Inc.,Winter,132km,58%
115,Loamy,Chemical,Arid,79,Integrated Pest Management,Early Summer,Lettuce,28C,Rare,CropLife Solutions,Spring,128km,34%
116,Saline,Organic,Temperate,83,Chemical Control - Synthetic Pesticides,Autumn,Potato,33C,Medium-Rare,FarmGrow Inc.,Spring,132km,30%
117,Saline,Compost,Tropical,81,Integrated Pest Management,Early Summer,Potato,21C,Rare,FarmGrow Inc.,Summer,131km,74%
118,Loamy,Organic,Temperate,78,Chemical Control - Organic Pesticides,Early Summer,Wheat,21C,Medium,FarmGrow Inc.,Winter,128km,23%
119,Clay,Compost,Temperate,62,Chemical Control - Organic Pesticides,Late Summer,Lettuce,24C,Medium-Well,CropLife Solutions,Winter,132km,93%
120,Clay,Chemical,Arid,66,Integrated Pest Management,Early Summer,Carrot,23C,Rare,CropLife Solutions,Autumn,128km,72%
121,Clay,Organic,Tropical,64,Integrated Pest Management,Winter,Corn,29C,Medium,GreenFields,Spring,128km,56%
122,Clay,Chemical,Temperate,75,Integrated Pest Management,Late Summer,Lettuce,34C,Medium-Rare,AgriSeeds Co.,Summer,130km,20%
123,Saline,Chemical,Tropical,80,Biological Control - Predatory Insects,Winter,Corn,26C,Medium,GreenFields,Winter,132km,56%
124,Sandy,Organic,Arid,73,Chemical Control - Organic Pesticides,Winter,Carrot,32C,Well-Done,AgriSeeds Co.,Winter,133km,43%
125,Clay,Compost,Temperate,68,Chemical Control - Synthetic Pesticides,Early Spring,Tomato,23C,Medium-Rare,FarmGrow Inc.,Spring,131km,98%
126,Saline,Organic,Arid,65,Integrated Pest Management,Early Summer,Lettuce,24C,Rare,FarmGrow Inc.,Spring,132km,23%
127,Clay,Chemical,Arid,68,Chemical Control - Synthetic Pesticides,Late Summer,Lettuce,26C,Overdone,GreenFields,Summer,129km,95%
128,Clay,Compost,Temperate,75,Biological Control - Predatory Insects,Winter,Carrot,20C,Overdone,CropLife Solutions,Spring,133km,59%
129,Sandy,Chemical,Tropical,68,Integrated Pest Management,Winter,Potato,23C,Medium-Well,GreenFields,Spring,129km,64%
130,Clay,Organic,Tropical,72,Chemical Control - Synthetic Pesticides,Winter,Potato,33C,Medium-Rare,GreenFields,Autumn,132km,57%
131,Saline,Chemical,Arid,68,Chemical Control - Synthetic Pesticides,Late Summer,Potato,32C,Medium-Rare,GreenFields,Summer,132km,47%
132,Saline,Chemical,Temperate,75,Biological Control - Predatory Insects,Winter,Tomato,25C,Medium,AgriSeeds Co.,Winter,134km,47%
133,Loamy,Compost,Temperate,62,Integrated Pest Management,Late Summer,Carrot,34C,Medium-Well,CropLife Solutions,Spring,130km,52%
134,Loamy,Organic,Arid,68,Chemical Control - Synthetic Pesticides,Autumn,Potato,34C,Well-Done,GreenFields,Winter,128km,30%
135,Sandy,Compost,Temperate,82,Chemical Control - Synthetic Pesticides,Early Summer,Corn,21C,Rare,AgriSeeds Co.,Summer,133km,93%
136,Loamy,Organic,Tropical,73,Integrated Pest Management,Winter,Potato,32C,Overdone,AgriSeeds Co.,Winter,132km,72%
137,Loamy,Compost,Arid,73,Biological Control - Predatory Insects,Early Spring,Carrot,21C,Medium-Rare,CropLife Solutions,Autumn,128km,40%
138,Sandy,Chemical,Temperate,85,Integrated Pest Management,Winter,Lettuce,26C,Well-Done,CropLife Solutions,Summer,133km,56%
139,Saline,Organic,Arid,81,Chemical Control - Synthetic Pesticides,Late Spring,Corn,24C,Rare,CropLife Solutions,Summer,128km,91%
140,Sandy,Organic,Tropical,60,Integrated Pest Management,Late Summer,Lettuce,32C,Overdone,CropLife Solutions,Autumn,134km,29%
141,Saline,Organic,Temperate,79,Biological Control - Predatory Insects,Winter,Carrot,30C,Well-Done,GreenFields,Spring,128km,52%
142,Saline,Compost,Tropical,65,Chemical Control - Synthetic Pesticides,Autumn,Corn,27C,Well-Done,FarmGrow Inc.,Winter,128km,42%
143,Saline,Compost,Tropical,83,Integrated Pest Management,Winter,Wheat,33C,Medium-Well,FarmGrow Inc.,Spring,128km,83%
144,Saline,Chemical,Tropical,70,Biological Control - Predatory Insects,Late Summer,Corn,32C,Medium,AgriSeeds Co.,Winter,134km,70%
145,Clay,Organic,Temperate,78,Integrated Pest Management,Early Summer,Wheat,30C,Medium-Well,CropLife Solutions,Autumn,132km,69%
146,Loamy,Compost,Tropical,79,Integrated Pest Management,Late Summer,Wheat,20C,Overdone,GreenFields,Spring,130km,22%
147,Sandy,Chemical,Temperate,75,Chemical Control - Synthetic Pesticides,Early Spring,Potato,20C,Well-Done,GreenFields,Winter,128km,36%
148,Saline,Organic,Temperate,71,Integrated Pest Management,Autumn,Corn,27C,Overdone,CropLife Solutions,Spring,133km,36%
149,Clay,Compost,Arid,65,Chemical Control - Organic Pesticides,Late Spring,Carrot,23C,Medium,CropLife Solutions,Spring,133km,76%
150,Sandy,Organic,Tropical,82,Chemical Control - Organic Pesticides,Early Summer,Potato,23C,Medium,AgriSeeds Co.,Spring,129km,65%
151,Loamy,Chemical,Temperate,81,Biological Control - Predatory Insects,Autumn,Tomato,27C,Medium-Rare,FarmGrow Inc.,Spring,129km,75%
152,Clay,Chemical,Temperate,69,Integrated Pest Management,Late Summer,Corn,34C,Overdone,GreenFields,Summer,134km,52%
153,Clay,Compost,Temperate,85,Biological Control - Predatory Insects,Late Spring,Carrot,32C,Well-Done,AgriSeeds Co.,Spring,130km,57%
154,Sandy,Compost,Arid,81,Biological Control - Predatory Insects,Autumn,Carrot,30C,Well-Done,CropLife Solutions,Winter,131km,86%
155,Saline,Compost,Tropical,63,Biological Control - Predatory Insects,Early Summer,Carrot,32C,Overdone,GreenFields,Spring,133km,61%
156,Clay,Chemical,Temperate,75,Chemical Control - Organic Pesticides,Early Summer,Lettuce,34C,Rare,GreenFields,Autumn,131km,76%
157,Sandy,Compost,Arid,66,Chemical Control - Synthetic Pesticides,Early Summer,Carrot,21C,Well-Done,AgriSeeds Co.,Summer,128km,75%
158,Sandy,Organic,Temperate,75,Integrated Pest Management,Late Spring,Wheat,28C,Medium-Well,AgriSeeds Co.,Spring,134km,44%
159,Sandy,Chemical,Arid,61,Chemical Control - Organic Pesticides,Autumn,Potato,21C,Medium-Well,CropLife Solutions,Spring,130km,22%
160,Loamy,Compost,Temperate,85,Chemical Control - Organic Pesticides,Autumn,Lettuce,23C,Rare,GreenFields,Summer,128km,62%
161,Sandy,Chemical,Temperate,83,Chemical Control - Synthetic Pesticides,Late Summer,Wheat,32C,Rare,GreenFields,Winter,134km,58%
162,Saline,Organic,Tropical,61,Chemical Control - Organic Pesticides,Late Spring,Wheat,30C,Medium,GreenFields,Summer,132km,38%
163,Loamy,Organic,Temperate,78,Chemical Control - Organic Pesticides,Late Summer,Carrot,20C,Medium,GreenFields,Spring,128km,99%
164,Clay,Chemical,Tropical,63,Biological Control - Predatory Insects,Early Summer,Lettuce,28C,Overdone,FarmGrow Inc.,Autumn,129km,28%
165,Saline,Compost,Temperate,78,Chemical Control - Organic Pesticides,Winter,Carrot,33C,Overdone,AgriSeeds Co.,Autumn,131km,79%
166,Clay,Chemical,Tropical,75,Chemical Control - Synthetic Pesticides,Late Summer,Wheat,27C,Rare,GreenFields,Summer,129km,40%
167,Loamy,Compost,Tropical,64,Integrated Pest Management,Early Summer,Wheat,20C,Rare,GreenFields,Autumn,131km,50%
168,Saline,Chemical,Tropical,69,Integrated Pest Management,Early Spring,Potato,22C,Overdone,GreenFields,Spring,129km,87%
169,Loamy,Compost,Tropical,81,Chemical Control - Synthetic Pesticides,Autumn,Potato,21C,Medium-Rare,CropLife Solutions,Autumn,129km,65%
170,Saline,Compost,Temperate,71,Integrated Pest Management,Winter,Carrot,33C,Medium-Rare,CropLife Solutions,Spring,133km,36%
171,Clay,Compost,Temperate,84,Chemical Control - Organic Pesticides,Early Spring,Corn,28C,Medium-Rare,CropLife Solutions,Winter,128km,68%
172,Clay,Compost,Tropical,68,Integrated Pest Management,Early Spring,Carrot,26C,Medium-Rare,GreenFields,Summer,131km,99%
173,Sandy,Organic,Temperate,79,Chemical Control - Synthetic Pesticides,Winter,Lettuce,24C,Medium,AgriSeeds Co.,Spring,132km,33%
174,Clay,Chemical,Arid,64,Biological Control - Predatory Insects,Winter,Wheat,20C,Medium-Rare,CropLife Solutions,Autumn,129km,81%
175,Loamy,Chemical,Tropical,69,Integrated Pest Management,Late Spring,Tomato,26C,Overdone,CropLife Solutions,Autumn,134km,30%
176,Sandy,Chemical,Temperate,85,Biological Control - Predatory Insects,Early Spring,Carrot,20C,Rare,CropLife Solutions,Spring,133km,51%
177,Clay,Chemical,Arid,68,Biological Control - Predatory Insects,Winter,Carrot,22C,Medium-Rare,AgriSeeds Co.,Summer,131km,91%
178,Loamy,Organic,Tropical,66,Chemical Control - Organic Pesticides,Autumn,Corn,20C,Medium,GreenFields,Spring,132km,60%
179,Clay,Organic,Arid,72,Biological Control - Predatory Insects,Late Summer,Wheat,34C,Well-Done,FarmGrow Inc.,Summer,131km,91%
180,Sandy,Organic,Arid,81,Integrated Pest Management,Autumn,Carrot,30C,Well-Done,CropLife Solutions,Autumn,133km,64%
181,Clay,Compost,Arid,65,Biological Control - Predatory Insects,Late Summer,Wheat,31C,Rare,AgriSeeds Co.,Spring,128km,99%
182,Sandy,Organic,Tropical,61,Integrated Pest Management,Late Summer,Potato,22C,Medium-Rare,GreenFields,Spring,134km,60%
183,Clay,Compost,Arid,75,Chemical Control - Organic Pesticides,Early Spring,Corn,22C,Well-Done,GreenFields,Winter,133km,22%
184,Saline,Organic,Tropical,76,Biological Control - Predatory Insects,Winter,Potato,27C,Medium,GreenFields,Summer,129km,88%
185,Saline,Chemical,Temperate,71,Biological Control - Predatory Insects,Winter,Wheat,28C,Medium-Rare,CropLife Solutions,Spring,131km,70%
186,Saline,Compost,Arid,70,Integrated Pest Management,Winter,Wheat,29C,Medium,CropLife Solutions,Spring,131km,68%
187,Clay,Chemical,Temperate,64,Integrated Pest Management,Autumn,Carrot,32C,Well-Done,AgriSeeds Co.,Winter,132km,81%
188,Saline,Compost,Tropical,63,Biological Control - Predatory Insects,Winter,Potato,26C,Well-Done,CropLife Solutions,Spring,128km,88%
189,Clay,Compost,Temperate,65,Integrated Pest Management,Late Summer,Wheat,25C,Medium-Rare,GreenFields,Summer,129km,84%
190,Loamy,Organic,Tropical,78,Biological Control - Predatory Insects,Autumn,Corn,26C,Medium-Well,GreenFields,Autumn,130km,56%
191,Sandy,Compost,Tropical,80,Chemical Control - Organic Pesticides,Early Summer,Lettuce,30C,Rare,AgriSeeds Co.,Summer,130km,29%
192,Sandy,Compost,Tropical,85,Chemical Control - Organic Pesticides,Autumn,Corn,32C,Medium-Rare,FarmGrow Inc.,Winter,133km,97%
193,Sandy,Chemical,Arid,61,Chemical Control - Synthetic Pesticides,Late Summer,Lettuce,29C,Medium-Rare,AgriSeeds Co.,Winter,132km,36%
194,Loamy,Chemical,Temperate,69,Integrated Pest Management,Winter,Potato,30C,Medium-Rare,CropLife Solutions,Summer,132km,35%
195,Saline,Chemical,Tropical,65,Integrated Pest Management,Early Summer,Carrot,24C,Medium-Rare,CropLife Solutions,Winter,133km,26%
196,Sandy,Chemical,Tropical,75,Biological Control - Predatory Insects,Autumn,Lettuce,29C,Medium-Well,GreenFields,Summer,132km,83%
197,Clay,Compost,Temperate,66,Integrated Pest Management,Early Spring,Carrot,27C,Medium-Rare,AgriSeeds Co.,Summer,130km,65%
